Feature,RF Importance,Mutual Information,Normal Mean,Suspicious Mean,Normal Median,Suspicious Median,Normal Std,Suspicious Std,Mean Difference,Absolute Mean Difference,Standardized Difference,RF Rank,MI Rank,Difference Rank,Standardized Rank,Average Rank
Transaction_Hour,0.09592240116927901,0.004273375805393886,11.58254585881045,11.971393034825871,12.0,13.0,6.940409191412875,6.780525005645254,0.38884717601542107,0.38884717601542107,0.056675554857606066,5.0,3.0,5.0,5.0,4.5
Spending_Deviation_Amount,0.040810181318458066,0.001778506585766948,983.2697317954418,1077.1192164179104,0.0,0.0,2343.329660154713,2461.325439972698,93.8494846224686,93.8494846224686,0.039054289600625104,6.0,9.0,1.0,8.0,6.0
Account Balance,0.1529402921279003,0.0038620676553267064,2991.844669260701,2964.075111940298,2981.505,2959.415,1159.1847334345982,1169.1577403036524,-27.769557320402782,27.769557320402782,-0.023853280088241256,2.0,6.0,3.0,15.0,6.5
Amount,0.15351572155896792,0.0036180082159993354,4977.050749027238,5021.051592039801,5008.3099999999995,5085.305,2866.4529244745636,2807.008267460347,44.000843012562655,44.000843012562655,0.015510259604113952,1.0,8.0,2.0,20.0,7.75
Amount_Percent_of_Balance,0.15023555935884628,0.0,201.660596741937,205.58657399927034,166.16999960909692,173.63927827732368,163.0076514162392,161.6790712886012,3.9259772573333294,3.9259772573333294,0.024182968479433832,3.0,13.0,4.0,13.0,8.25
Location_California,0.013176079489696051,0.004145128086795902,0.24833240689271818,0.22388059701492538,0.0,0.0,0.4320756485515697,0.4171024591646963,-0.0244518098777928,0.0244518098777928,-0.057580404905541,18.0,4.0,9.0,4.0,8.75
Amount_to_Balance_Ratio,0.15011346365603678,0.0,2.01660596741937,2.0558657399927034,1.6616999960909693,1.7363927827732368,1.6300765141623923,1.6167907128860117,0.03925977257333324,0.03925977257333324,0.0241829684794338,4.0,13.0,6.0,14.0,9.25
Unusual_Hour,0.013273664660187954,0.0,0.32962757087270705,0.2997512437810945,0.0,0.0,0.47011056938577706,0.4584341075278997,-0.02987632709161253,0.02987632709161253,-0.06434577878322177,16.0,13.0,8.0,3.0,10.0
Transaction_Weekday_Friday,0.009114196584419478,0.0,0.16620344635908837,0.19776119402985073,0.0,0.0,0.37228902932498215,0.3985590017732167,0.03155774767076236,0.03155774767076236,0.08183049515989205,21.0,13.0,7.0,1.0,10.5
Location_Florida,0.014592809776852999,0.0,0.25138966092273485,0.26865671641791045,0.0,0.0,0.4338422010022808,0.44353688452867024,0.0172670554951756,0.0172670554951756,0.03935813328214639,13.0,13.0,11.0,7.0,11.0
Type_Deposit,0.01576659282898371,0.0006565969868446153,0.34213451917732074,0.35199004975124376,0.0,0.0,0.4744573453852872,0.47788817285419427,0.009855530573923021,0.009855530573923021,0.02069724996468429,9.0,11.0,16.0,16.0,13.0
Transaction_Weekday_Sunday,0.008138341096023766,0.0,0.16717620900500277,0.14925373134328357,0.0,0.0,0.37315904766325964,0.3565602100079369,-0.0179224776617192,0.0179224776617192,-0.04910886629921393,23.0,13.0,10.0,6.0,13.0
Known Threat Flag,0.006883810712117779,0.0,0.05252918287937743,0.03731343283582089,0.0,0.0,0.22310711577785933,0.18964670901509403,-0.01521575004355654,0.01521575004355654,-0.07348689343132152,26.0,13.0,12.0,2.0,13.25
