Amount,Account Balance,User Device Recognition,Known Threat Flag,Login Location Match,Spending Pattern Deviation,Transaction_Hour,Transaction_Day,Transaction_Month,High_Value_Transaction,Low_Balance,Amount_to_Balance_Ratio,Amount_Percent_of_Balance,Spending_Deviation_Amount,Location_Deviation,Unusual_Hour,High_Amount_Unusual_Hour,Location_Deviation_High_Amount,Type_Deposit,Type_Transfer,Type_Withdrawal,Location_California,Location_Florida,Location_New York,Location_Texas,Transaction_Weekday_Friday,Transaction_Weekday_Monday,Transaction_Weekday_Saturday,Transaction_Weekday_Sunday,Transaction_Weekday_Thursday,Transaction_Weekday_Wednesday
0.8463607987970615,-1.575379131476732,0,0,0,0,-0.9449662115013286,1.4723028549549706,0.0,0,0,6.408685872480318,640.8685872480319,0.0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
1.050857718729117,-1.0283544407529714,1,0,0,0,1.5048594573863872,-0.8958143281844645,0.0,0,0,4.462443752163378,446.2443752163378,0.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
-1.0872993754323246,-1.4381321451802012,0,0,1,0,-1.0890736037888413,-1.4878436239693233,0.0,0,0,1.424742832379171,142.47428323791712,0.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
-1.7072335143610644,-0.6507723873554633,0,0,0,0,-0.08032185777625245,-0.3037850323996057,0.0,0,0,0.0447553012091421,4.475530120914213,0.0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
0.43526692050633625,0.4725277634282345,1,0,1,0,0.20789292679877294,1.4723028549549706,0.0,0,0,1.76314084335679,176.31408433567898,0.0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
0.2226354091314225,-0.6726006771014765,1,0,1,0,1.2166446728113618,0.2882442633852531,0.0,0,0,2.5507932115427363,255.07932115427363,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
1.29359211037904,-0.1668215516177173,1,0,1,1,-1.3772883883638667,1.4723028549549706,0.0,0,0,3.1119672172252844,311.1967217225284,8687.71,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
-1.0393688810931132,0.8143148659483551,1,0,0,0,-0.6567514269263032,0.8802735591701119,0.0,0,0,0.5115869696830945,51.15869696830945,0.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1.3590007947514027,0.522564919922942,1,0,1,0,1.3607520650988745,-0.8958143281844645,0.0,0,0,2.470520443613041,247.0520443613041,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0.3445354766037361,1.702937222358149,0,0,1,0,-1.3772883883638667,1.4723028549549706,0.0,0,0,1.2032024146052993,120.32024146052991,0.0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
0.986329582915002,-0.9399821576510643,1,0,1,0,1.0725372805238491,1.4723028549549706,0.0,0,0,4.123101050263754,412.3101050263754,0.0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
-0.6663587279465931,0.6947630021086517,0,0,1,0,1.3607520650988745,0.2882442633852531,0.0,0,0,0.8118081375418611,81.1808137541861,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1.0379010756577607,-1.054884208290434,0,0,1,0,-1.5213957806513794,0.2882442633852531,0.0,0,0,4.519481699869914,451.9481699869914,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0.7003120365388403,1.0235650707285795,0,1,0,0,-1.3772883883638667,-0.8958143281844645,0.0,0,0,1.6745517051375731,167.4551705137573,0.0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
