Spending_Deviation_Amount,User Device Recognition,Spending Pattern Deviation,Login Location Match,Known Threat Flag,Location_Deviation,Amount_Percent_of_Balance,Amount,Amount_to_Balance_Ratio,Account Balance,Transaction_Hour
0.0,0,0,0,0,1,640.8685872480319,0.8463607987970615,6.408685872480318,-1.575379131476732,-0.9449662115013286
0.0,1,0,0,0,1,446.2443752163378,1.050857718729117,4.462443752163378,-1.0283544407529714,1.5048594573863872
0.0,0,0,1,0,0,142.47428323791712,-1.0872993754323246,1.424742832379171,-1.4381321451802012,-1.089073603788841
0.0,0,0,0,0,1,4.475530120914213,-1.7072335143610644,0.0447553012091421,-0.6507723873554633,-0.0803218577762524
0.0,1,0,1,0,0,176.31408433567898,0.4352669205063362,1.76314084335679,0.4725277634282345,0.2078929267987729
0.0,1,0,1,0,0,255.07932115427363,0.2226354091314225,2.5507932115427363,-0.6726006771014765,1.2166446728113618
8687.71,1,1,1,0,0,311.1967217225284,1.29359211037904,3.1119672172252844,-0.1668215516177173,-1.3772883883638667
0.0,1,0,0,0,1,51.15869696830945,-1.0393688810931132,0.5115869696830945,0.8143148659483551,-0.6567514269263032
0.0,1,0,1,0,0,247.0520443613041,1.359000794751403,2.470520443613041,0.522564919922942,1.3607520650988745
0.0,0,0,1,0,0,120.32024146052991,0.3445354766037361,1.2032024146052993,1.702937222358149,-1.3772883883638667
0.0,1,0,1,0,0,412.3101050263754,0.986329582915002,4.123101050263754,-0.9399821576510644,1.0725372805238491
0.0,0,0,1,0,0,81.1808137541861,-0.6663587279465931,0.8118081375418611,0.6947630021086517,1.3607520650988745
0.0,0,0,1,0,0,451.9481699869914,1.037901075657761,4.519481699869914,-1.054884208290434,-1.5213957806513794
0.0,0,0,0,1,1,167.4551705137573,0.7003120365388403,1.6745517051375731,1.0235650707285795,-1.3772883883638667
0.0,1,0,1,0,0,410.835276766708,0.2338414378072152,4.10835276766708,-1.385485926834195,-0.6567514269263032
0.0,1,0,1,0,0,436.3630290276247,0.5402304051936271,4.363630290276247,-1.2817950924667425,0.7843224959488238
0.0,1,0,1,1,0,91.3132246146006,-0.7403492665215586,0.913132246146006,0.1327383584312201,1.3607520650988745
0.0,1,0,1,0,0,230.81835696914183,-0.465317611681628,2.3081835696914186,-1.2075702965651114,-0.2244292500637651
0.0,0,0,0,0,1,34.30596869700592,-1.3109062956225377,0.3430596869700592,0.5266808656817561,-1.665503172938892
0.0,1,0,1,0,0,58.11412341853861,-0.9556329062921464,0.5811412341853861,0.7642518771580904,-1.665503172938892
0.0,1,0,1,0,0,291.1456736035049,0.3477536719297122,2.911456736035049,-0.8018310410100239,-1.089073603788841
0.0,1,0,1,0,0,90.21450209883308,-1.0459555240784169,0.9021450209883308,-0.6691219279664118,0.4961077113737983
0.0,1,0,1,0,0,236.7094141649665,-0.6069636311486114,2.3670941416496647,-1.388956065204074,0.3520003190862856
5385.92,1,1,0,0,1,196.42806344436207,0.1398673388964659,1.9642806344436217,-0.2096859407126501,0.6402151036613111
0.0,1,0,1,0,0,207.8518604673703,1.255214869048752,2.078518604673703,0.9828964267560272,1.3607520650988745
0.0,1,0,1,0,0,273.3336063803645,0.8230297562438125,2.733336063803645,-0.2580698302916832,-0.5126440346387905
0.0,1,0,1,0,0,205.4487797683205,0.788852591766753,2.054487797683205,0.4650794515425139,-0.6567514269263032
0.0,1,0,0,0,1,21.399221375474045,-1.638194314306086,0.2139922137547404,-1.3741197167889336,-0.5126440346387905
0.0,1,0,1,0,0,68.11856135911802,-1.175801494016821,0.6811856135911802,-0.5220328370625066,-0.800858819213816
0.0,1,0,1,0,0,63.869629568579775,-1.0922122773088958,0.6386962956857978,-0.0632340464324942,-1.3772883883638667
9098.8,1,1,0,0,1,540.6908682501293,1.4372368353036329,5.406908682501292,-1.12166930307153,0.3520003190862856
0.0,1,0,1,0,0,25.192122762427022,-1.4189691714652473,0.2519212276242702,0.5901680373966895,-1.5213957806513794
0.0,1,0,0,0,1,13.714040206136865,-1.5290691894089825,0.1371404020613686,1.2572956809320457,-0.3685366423512778
0.0,0,0,1,0,0,23.501366025092263,-1.3411314743084148,0.2350136602509226,1.633749724090213,-0.6567514269263032
0.0,1,0,0,0,1,220.366333221216,0.1122348865209841,2.20366333221216,-0.4970616180236747,-0.0803218577762524
0.0,1,0,1,0,0,242.50199939933657,0.7689563874387315,2.4250199939933657,-0.0189919349078332,0.2078929267987729
183.12,0,1,1,0,0,9.146304916788203,-1.6781160098536174,0.091463049167882,-0.8467189599236206,-0.2244292500637651
9029.88,1,1,1,1,0,330.59408876733994,1.413154531083625,3.3059408876734,-0.2187444656881159,1.3607520650988745
3462.46,0,1,1,0,0,88.71278503715091,-0.5322358078681292,0.8871278503715091,0.7900841727155026,-0.2244292500637651
0.0,1,0,0,0,1,262.23953405865655,1.3572851227589442,2.6223953405865656,0.341807737142543,-1.233180996076354
0.0,1,0,0,0,1,175.0509764064111,1.1586759977500916,1.7505097640641112,1.51286319164671,-0.5126440346387905
0.0,1,0,0,0,1,24.0855304131202,-1.478591393883412,0.2408553041312019,0.1253761541973579,-1.089073603788841
0.0,1,0,1,0,0,156.63707217579494,0.6300917832589109,1.5663707217579494,1.1613287029362591,0.3520003190862856
2396.27,0,1,1,0,0,159.8109961052126,-0.9047882155339728,1.598109961052126,-1.2795649042836192,0.3520003190862856
9269.28,1,1,1,0,0,208.27268539843388,1.4968066441171404,2.082726853984339,1.2615666204642042,-0.6567514269263032
0.0,1,0,1,0,0,192.7663122785074,0.2288831108066073,1.927663122785074,-0.0510412029293958,0.6402151036613111
0.0,1,0,1,0,0,116.24121346651869,-1.215115191750325,1.1624121346651868,-1.4535023610368614,-1.3772883883638667
0.0,0,0,0,0,1,89.84123308488313,-0.6575637250850495,0.8984123308488313,0.4041066232618353,-0.0803218577762524
0.0,1,0,1,0,0,228.2295903330386,0.963777755950996,2.282295903330386,0.3509351482394952,0.2078929267987729
0.0,1,0,1,0,0,100.22124481180916,-0.1592536086440932,1.0022124481180916,1.3212650554973835,-1.233180996076354
0.0,1,0,1,0,0,168.25462125533588,1.0303674935483094,1.6825462125533588,1.4898896701309847,0.0637855345112602
