ROS Sampling Ratio,Class Weight,CV Precision,CV Recall,CV F1,CV ROC-AUC,CV PR-AUC
0.3,balanced,0.1004572985442902,0.49760093167701863,0.1670456306885662,0.4941745248177135,0.10250595044079783
1.0,,0.10016920279663136,0.4864052795031055,0.16595731454114085,0.4941988775492647,0.10120060193607754
1.0,balanced,0.10016920279663136,0.4864052795031055,0.16595731454114085,0.4941988775492647,0.10120060193607754
0.5,balanced,0.0995070519550561,0.4876319875776397,0.16515197159204315,0.49266736884376294,0.10192336156058601
0.7,balanced,0.09924243456989408,0.4901319875776398,0.16493243972148885,0.4909567634940958,0.10070590666122237
0.2,balanced,0.09867748511932552,0.4876397515527951,0.16408524157838172,0.4979340315058467,0.10292360043921474
0.4,balanced,0.09797323035466064,0.478944099378882,0.16249506199642677,0.49009584009406454,0.10138953938660027
0.2,,0.0,0.0,0.0,0.49656046443315843,0.10083725564877785
0.3,,0.0,0.0,0.0,0.4966879207172603,0.10087865626525225
0.4,,0.0,0.0,0.0,0.4930332345241452,0.10011217697408081
0.5,,0.0,0.0,0.0,0.49237343907065984,0.10135462022161265
0.7,,0.0,0.0,0.0,0.48920142868368277,0.10040502738275334
