ROS Sampling Ratio,Class Weight,C,CV Precision,CV Recall,CV F1,CV ROC-AUC,CV PR-AUC
0.3,balanced,1.0,0.10247642979559923,0.48386645962732916,0.16908932032204246,0.4936348248891186,0.10000504024613599
0.3,balanced,10.0,0.10247285149595804,0.48386645962732916,0.16908512800951994,0.4935532995493105,0.09996845802048644
0.3,balanced,5.0,0.10245526287148218,0.48386645962732916,0.169061235786956,0.4937060054446742,0.09999560058390693
0.3,balanced,0.5,0.1022879752621864,0.48262422360248447,0.1687563480958151,0.49354544871202305,0.09997542939767406
0.3,balanced,0.1,0.10183564628109709,0.4788742236024845,0.16790854501620892,0.49334908949766343,0.10001619338652493
0.3,balanced,0.05,0.10168686414481243,0.47639751552795023,0.167553743528491,0.49306332535324265,0.09990196613644071
1.0,,0.05,0.10171316337198444,0.47640527950310557,0.16752514523627932,0.4967073087700727,0.10109131624371695
1.0,balanced,0.05,0.10171316337198444,0.47640527950310557,0.16752514523627932,0.4967073087700727,0.10109131624371695
1.0,,0.1,0.10154864478223735,0.4776475155279504,0.16736442908596622,0.49709260698156477,0.10110532733063264
1.0,balanced,0.1,0.10154864478223735,0.4776475155279504,0.16736442908596622,0.49709260698156477,0.10110532733063264
1.0,,5.0,0.10147299141595185,0.47888975155279506,0.16733491777036813,0.49644989401943107,0.10087027426434898
1.0,balanced,5.0,0.10147299141595185,0.47888975155279506,0.16733491777036813,0.49644989401943107,0.10087027426434898
1.0,balanced,0.01,0.10166400874391271,0.47392080745341614,0.16729098560670308,0.4955136276992567,0.10183111355093095
1.0,,0.01,0.10166400874391271,0.47392080745341614,0.16729098560670308,0.4955136276992567,0.10183111355093095
1.0,balanced,1.0,0.10141813280247429,0.4776475155279504,0.16718694853528626,0.49639650107731076,0.1008735608456723
1.0,,1.0,0.10141813280247429,0.4776475155279504,0.16718694853528626,0.49639650107731076,0.1008735608456723
0.3,balanced,0.01,0.10152886064031034,0.47267857142857145,0.16706989178518022,0.49104625326301565,0.09942808239163589
1.0,,10.0,0.10107842015637343,0.47639751552795034,0.16665412297364698,0.49725230179967034,0.10109697024632407
1.0,balanced,10.0,0.10107842015637343,0.47639751552795034,0.16665412297364698,0.49725230179967034,0.10109697024632407
0.2,balanced,10.0,0.10139806235755791,0.4664673913043478,0.16651270836325485,0.4999662575442626,0.10247201492732369
0.5,balanced,10.0,0.10120135245380493,0.46894409937888193,0.16637951133029008,0.4952742894405562,0.10059463353484435
1.0,,0.005,0.1010755105605908,0.47142080745341614,0.16633879377562952,0.49368711705425994,0.10091123650305193
1.0,balanced,0.005,0.1010755105605908,0.47142080745341614,0.16633879377562952,0.49368711705425994,0.10091123650305193
1.0,,0.5,0.10085753753239968,0.4751630434782609,0.16627304933980794,0.4972211093056017,0.10114222343837309
1.0,balanced,0.5,0.10085753753239968,0.4751630434782609,0.16627304933980794,0.4972211093056017,0.10114222343837309
0.2,balanced,1.0,0.10122789294442185,0.4652251552795031,0.16620068715201897,0.5000852201670858,0.10253304955952344
0.2,balanced,5.0,0.10122782545115767,0.4652251552795031,0.16620053284683817,0.5001570147936668,0.10250993462069366
0.5,balanced,0.05,0.10109792721426547,0.4677096273291926,0.16616022281350473,0.49492617729643645,0.10071328461026392
0.5,balanced,1.0,0.101060498473833,0.46770186335403735,0.16610770661862503,0.4953478010096045,0.1007580338445819
0.5,balanced,5.0,0.10072748634887281,0.4664673913043478,0.16558402414355838,0.49496455519184596,0.10052551664194576
0.5,balanced,0.1,0.1008061854800584,0.46397515527950306,0.16552078312710355,0.49541352748276946,0.10084121985268084
0.2,balanced,0.5,0.10068053939615054,0.46274068322981365,0.16530031387748942,0.4999893020870652,0.10251499832499729
0.5,balanced,0.01,0.10044344340780127,0.4664518633540373,0.16520087019822366,0.49334865617990487,0.10092823442747736
0.5,balanced,0.5,0.10046640093314299,0.46397515527950306,0.16506567485589915,0.4951430877810582,0.1005794373632312
0.2,balanced,0.1,0.10053049714896609,0.46024844720496894,0.16493627684714235,0.4997397183306429,0.10172454225529134
1.0,,0.0001,0.09932618275269368,0.4813819875776398,0.1646116647165937,0.49353003410624785,0.10596455881609894
1.0,balanced,0.0001,0.09932618275269368,0.4813819875776398,0.1646116647165937,0.49353003410624785,0.10596455881609894
0.4,balanced,5.0,0.10015580311573295,0.46272515527950314,0.16457913104346208,0.49139623988767867,0.09932779998447451
0.7,balanced,10.0,0.09968273912786499,0.47142857142857136,0.16442658186482514,0.4942883960711503,0.10051941285582684
0.4,balanced,10.0,0.10003632049727407,0.4627173913043478,0.16441036651225022,0.49163920027443986,0.09936700980163948
0.7,balanced,1.0,0.09956485980327237,0.47017857142857145,0.16418853591778548,0.4942386485434708,0.1005331262434365
0.2,balanced,0.05,0.10010412034012668,0.45651397515527947,0.16412067131899052,0.49945177172971855,0.10169705541461986
0.5,balanced,0.005,0.09970030476899734,0.4639596273291925,0.16406087646321837,0.4921169045864045,0.1013202643744344
1.0,,0.0005,0.09903504397484028,0.4764208074534162,0.16393183073853562,0.4908384143390627,0.10258605533108578
1.0,balanced,0.0005,0.09903504397484028,0.4764208074534162,0.16393183073853562,0.4908384143390627,0.10258605533108578
0.7,balanced,0.5,0.09938700923759028,0.46893633540372665,0.1638749695154015,0.4944835175591371,0.10063752921235744
0.2,balanced,0.0001,0.09892247346859685,0.4776863354037267,0.1637079552685899,0.4946092625809249,0.10655667862436953
0.7,balanced,0.05,0.09938231093698102,0.46396739130434783,0.16355417970902902,0.4938103925507443,0.10062333229674822
0.7,balanced,0.1,0.09921251523882338,0.4664518633540373,0.1634904294010125,0.49388219676164713,0.10065173931094647
0.3,balanced,0.005,0.09897279010630108,0.4664673913043478,0.16320367966286486,0.4895557437649603,0.09945283616111633
0.2,balanced,0.01,0.09947212492200981,0.4552639751552795,0.16317140131434976,0.4975395823614127,0.10186672268061128
