Account Balance,Amount,Transaction_Hour,Login Location Match,Spending Pattern Deviation,User Device Recognition,Transaction_Day,Type_Withdrawal,Type_Transfer,Type_Deposit,Location_New York,Location_Texas,Location_Florida,Location_California
1.566860839227703,0.3120582742519711,-1.5234139672919795,0,0,0,-0.8883463275152893,1,0,0,0,1,0,0
0.93673402841719,0.5955322441105358,1.359764743658434,0,0,1,-0.2980829869735688,1,0,0,0,0,1,0
-0.0957301869064042,-1.5351954076960816,0.0623343237307478,1,0,1,1.4727070346515927,0,0,1,0,0,1,0
-0.1871736419273384,0.5993905516292545,1.2156058081109131,1,0,0,1.4727070346515927,0,0,1,0,0,1,0
-1.5289278381808484,-0.5817713391712986,-1.0909371606494176,0,0,1,0.8824436941098722,1,0,0,0,1,0,0
-0.2713819914444474,-0.625154623351034,0.2064932592782685,0,0,1,1.4727070346515927,1,0,0,0,0,0,1
0.6349292341110171,0.9970020489719446,-0.9467782251018968,1,0,1,-0.8883463275152893,1,0,0,0,0,0,1
-0.2835756019121577,-1.4018640212897222,-0.3701424829118142,1,0,0,-1.4786096680570098,1,0,0,0,0,0,1
-1.584644187001129,0.1556886755005675,1.5039236792059545,0,0,1,1.4727070346515927,0,0,1,1,0,0,0
-0.9948408009056184,-0.2211033107465402,-1.2350960961969382,1,0,0,0.8824436941098722,0,1,0,0,0,0,1
-0.7367398381767837,0.9538001680390206,-1.3792550317444587,0,0,1,-0.8883463275152893,0,0,1,0,0,1,0
-0.1110886170641073,-0.6344131659863683,1.0714468725633923,1,0,1,-1.4786096680570098,0,1,0,1,0,0,0
0.6792367097709153,0.4702663251393285,-0.8026192895543761,1,0,1,1.4727070346515927,0,0,1,0,0,1,0
0.0242311392720394,0.0307053269715084,1.359764743658434,1,0,1,-1.4786096680570098,1,0,0,0,0,1,0
-0.0630644185530187,-0.7888850076942068,-0.3701424829118142,0,0,1,-0.8883463275152893,1,0,0,0,0,1,0
1.0454503276862317,1.732257316490257,1.5039236792059545,0,0,1,-1.4786096680570098,1,0,0,0,0,1,0
-0.3729752905392819,-1.6360277047313878,-0.8026192895543761,1,0,1,-0.2980829869735688,0,1,0,0,0,1,0
-1.6635232216179232,-0.4144442866076926,1.6480826147534753,1,0,1,1.4727070346515927,0,1,0,1,0,0,0
-0.7231405993453981,1.270934905753026,-1.2350960961969382,1,0,1,-0.2980829869735688,0,0,1,0,0,0,1
